Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
1994,18,17,59,54,4,11,0,0,0,2,3,20,0.204,0.241,0.204,0.445,16,11
1995,19,48,149,142,15,33,6,2,5,19,6,42,0.232,0.264,0.408,0.672,72,58
1996,20,146,677,601,141,215,54,1,36,123,59,104,0.358,0.414,0.631,1.045,161,379
1997,21,141,638,587,100,176,40,3,23,84,41,99,0.3,0.35,0.496,0.846,120,291
1998,22,161,748,686,123,213,35,5,42,124,45,121,0.31,0.36,0.56,0.919,136,384
1999,23,129,572,502,110,143,25,0,42,111,56,109,0.285,0.357,0.586,0.943,134,294
2000,24,148,672,554,134,175,34,2,41,132,100,121,0.316,0.42,0.606,1.026,163,336
2001,25,162,732,632,133,201,34,1,52,135,75,131,0.318,0.399,0.622,1.021,160,393
2002,26,162,725,624,125,187,27,2,57,142,87,122,0.3,0.392,0.623,1.015,158,389
2003,27,161,715,607,124,181,30,6,47,118,87,126,0.298,0.396,0.6,0.995,147,364
2004,28,155,698,601,112,172,24,2,36,106,80,131,0.286,0.375,0.512,0.888,131,308
2005,29,162,715,605,124,194,29,1,48,130,91,139,0.321,0.421,0.61,1.031,173,369
2006,30,154,674,572,113,166,26,1,35,121,90,139,0.29,0.392,0.523,0.914,134,299
2007,31,158,708,583,143,183,31,0,54,156,95,120,0.314,0.422,0.645,1.067,176,376
2008,32,138,594,510,104,154,33,0,35,103,65,117,0.302,0.392,0.573,0.965,150,292
2009,33,124,535,444,78,127,17,1,30,100,80,97,0.286,0.402,0.532,0.933,138,236
2010,34,137,595,522,74,141,29,2,30,125,59,98,0.27,0.341,0.506,0.847,123,264
2011,35,99,428,373,67,103,21,0,16,62,47,80,0.276,0.362,0.461,0.823,119,172
2012,36,122,529,463,74,126,17,1,18,57,51,116,0.272,0.353,0.43,0.783,111,199
2013,37,44,181,156,21,38,7,0,7,19,23,43,0.244,0.348,0.423,0.771,113,66
2014,,,,,,,,,,,,,,,,,,
2015,39,151,620,523,83,131,22,1,33,86,84,145,0.25,0.356,0.486,0.842,129,254
2016,40,65,243,225,19,45,7,0,9,31,14,67,0.2,0.247,0.351,0.598,58,79
