Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
1986,22,18,58,53,10,10,1,0,3,9,4,18,0.189,0.259,0.377,0.636,77,20
1987,23,151,641,557,97,161,28,4,49,118,71,131,0.289,0.37,0.618,0.987,164,344
1988,24,155,635,550,87,143,22,1,32,99,76,117,0.26,0.352,0.478,0.83,134,263
1989,25,143,587,490,74,113,17,0,33,95,83,94,0.231,0.339,0.467,0.806,129,229
1990,26,156,650,523,87,123,16,0,39,108,110,116,0.235,0.37,0.489,0.859,144,256
1991,27,154,585,483,62,97,22,0,22,75,93,116,0.201,0.33,0.383,0.714,103,185
1992,28,139,571,467,87,125,22,0,42,104,90,105,0.268,0.385,0.585,0.97,176,273
1993,29,27,107,84,16,28,6,0,9,24,21,19,0.333,0.467,0.726,1.193,225,61
1994,30,47,172,135,26,34,3,0,9,25,37,40,0.252,0.413,0.474,0.887,138,64
1995,31,104,422,317,75,87,13,0,39,90,88,77,0.274,0.441,0.685,1.125,200,217
1996,32,130,548,423,104,132,21,0,52,113,116,112,0.312,0.467,0.73,1.198,196,309
1997,33,156,657,540,86,148,27,0,58,123,101,159,0.274,0.393,0.646,1.039,170,349
1998,34,155,681,509,130,152,21,0,70,147,162,155,0.299,0.47,0.752,1.222,216,383
1999,35,153,661,521,118,145,21,1,65,147,133,141,0.278,0.424,0.697,1.12,177,363
2000,36,89,321,236,60,72,8,0,32,73,76,78,0.305,0.483,0.746,1.229,203,176
2001,37,97,364,299,48,56,4,0,29,64,56,118,0.187,0.316,0.492,0.808,105,147
