Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
1989,20,58,203,183,27,47,8,0,4,13,11,47,0.257,0.303,0.366,0.669,89,67
1989,20,25,88,84,8,20,3,0,1,3,0,20,0.238,0.238,0.31,0.548,52,26
1989,20,33,115,99,19,27,5,0,3,10,11,27,0.273,0.351,0.414,0.765,118,41
1990,21,153,579,532,72,124,26,10,15,70,33,150,0.233,0.282,0.404,0.687,92,215
1991,22,116,338,316,39,64,10,1,10,33,14,98,0.203,0.24,0.335,0.576,59,106
1992,23,67,291,262,41,68,7,2,8,25,19,63,0.26,0.317,0.393,0.71,98,103
1993,24,159,641,598,92,156,25,5,33,93,38,135,0.261,0.309,0.485,0.794,112,290
1994,25,105,458,426,59,128,17,6,25,70,25,92,0.3,0.339,0.545,0.884,127,232
1995,26,144,629,564,89,151,17,3,36,119,58,134,0.268,0.34,0.5,0.84,122,282
1996,27,124,541,498,84,136,21,2,40,100,34,134,0.273,0.323,0.564,0.888,127,281
1997,28,162,694,642,90,161,31,4,36,119,45,174,0.251,0.3,0.48,0.779,99,308
1998,29,159,722,643,134,198,20,0,66,158,73,171,0.308,0.377,0.647,1.024,160,416
1999,30,162,712,625,114,180,24,2,63,141,78,171,0.288,0.367,0.635,1.002,151,397
2000,31,156,705,604,106,193,38,1,50,138,91,168,0.32,0.406,0.634,1.04,161,383
2001,32,160,711,577,146,189,34,5,64,160,116,153,0.328,0.437,0.737,1.174,203,425
2002,33,150,666,556,122,160,19,2,49,108,103,144,0.288,0.399,0.594,0.993,160,330
2003,34,137,589,517,99,144,22,0,40,103,62,143,0.279,0.358,0.553,0.911,133,286
2004,35,126,539,478,69,121,21,0,35,80,56,133,0.253,0.332,0.517,0.849,114,247
2005,36,102,424,380,39,84,15,1,14,45,39,84,0.221,0.295,0.376,0.671,78,143
,,,,,,,,,,,,,,,,,,
2007,38,114,454,412,53,104,24,1,21,92,34,112,0.252,0.311,0.468,0.779,101,193
